Show, Airdate, AppearanceID, GuestResource, WikipediaLink, LabelSource, Academic, Actor, Athlete, Business, Clergy, Comedian, Journalist, Musician, Policy, Politician, Writer
tds, 2003-02-03, 16, Douglas_Wilson_(interior_designer), http://en.wikipedia.org/wiki/Douglas_Wilson_(interior_designer), classifier, 0.27, 0.27, 0.38, 0.3, 0.02, 0.08, 0.29, 0.28, 0.24, 0.2, 0.77
tds, 2003-02-04, 17, Kate_Hudson, http://en.wikipedia.org/wiki/Kate_Hudson, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-02-05, 18, Busta_Rhymes, http://en.wikipedia.org/wiki/Busta_Rhymes, heuristics, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
tds, 2003-02-10, 19, Joe_Klein, http://en.wikipedia.org/wiki/Joe_Klein, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-02-11, 20, Bebe_Neuwirth, http://en.wikipedia.org/wiki/Bebe_Neuwirth, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-02-12, 21, Michael_Clarke_Duncan, http://en.wikipedia.org/wiki/Michael_Clarke_Duncan, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-02-13, 22, Ben_Affleck, http://en.wikipedia.org/wiki/Ben_Affleck, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-02-18, 23, Steve_Kroft, http://en.wikipedia.org/wiki/Steve_Kroft, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-02-19, 24, Jeff_Daniels, http://en.wikipedia.org/wiki/Jeff_Daniels, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-02-20, 25, Luke_Wilson, http://en.wikipedia.org/wiki/Luke_Wilson, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-03-03, 26, Eric_Idle, http://en.wikipedia.org/wiki/Eric_Idle, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-03-04, 27, Walter_Isaacson, http://en.wikipedia.org/wiki/Walter_Isaacson, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
tds, 2003-03-05, 28, Adrien_Brody, http://en.wikipedia.org/wiki/Adrien_Brody, classifier, 0, 0.99, 0, 0.55, 0, 0.02, 0, 0, 0.08, 0, 0.05
tds, 2003-03-06, 29, David_Cross, http://en.wikipedia.org/wiki/David_Cross, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1
tds, 2003-03-06, 30, Stephen_Colbert, http://en.wikipedia.org/wiki/Stephen_Colbert, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1
tds, 2003-03-10, 31, Les_Gelb, http://en.wikipedia.org/wiki/Les_Gelb, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-03-11, 32, Colin_Quinn, http://en.wikipedia.org/wiki/Colin_Quinn, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-03-12, 33, Dick_Gephardt, http://en.wikipedia.org/wiki/Dick_Gephardt, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-03-13, 147, Tom_Cavanagh, http://en.wikipedia.org/wiki/Tom_Cavanagh, classifier, 0, 0.71, 0, 0.01, 0, 0.76, 0, 0.26, 0, 0.02, 0.05
tds, 2003-03-17, 148, Eric_Alterman, http://en.wikipedia.org/wiki/Eric_Alterman, heuristics, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
tds, 2003-03-18, 149, Jason_Lee_(actor), http://en.wikipedia.org/wiki/Jason_Lee_(actor), classifier, 0, 0.98, 0, 0.33, 0, 0.01, 0, 0.01, 0.02, 0, 0.01
tds, 2003-03-19, 150, John_Hulsman, http://en.wikipedia.org/wiki/John_Hulsman, classifier, 0.04, 0.06, 0.05, 0.01, 0, 0.16, 0.11, 0.17, 0.03, 0.17, 0.17
tds, 2003-03-20, 151, Eddie_Griffin, http://en.wikipedia.org/wiki/Eddie_Griffin, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-03-24, 152, Jim_Kelly, http://en.wikipedia.org/wiki/Jim_Kelly, heuristics, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-03-25, 153, Connie_Nielsen, http://en.wikipedia.org/wiki/Connie_Nielsen, classifier, 0, 1, 0, 0.1, 0, 0.59, 0, 0.66, 0, 0, 0.01
tds, 2003-03-26, 154, Ringo_Starr, http://en.wikipedia.org/wiki/Ringo_Starr, heuristics, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
tds, 2003-03-27, 155, Hilary_Swank, http://en.wikipedia.org/wiki/Hilary_Swank, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-03-31, 156, Chris_Rock, http://en.wikipedia.org/wiki/Chris_Rock, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-04-01, 157, Anthony_Swofford, http://en.wikipedia.org/wiki/Anthony_Swofford, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
tds, 2003-04-02, 158, Kelly_Preston, http://en.wikipedia.org/wiki/Kelly_Preston, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-04-03, 159, Colin_Farrell, http://en.wikipedia.org/wiki/Colin_Farrell, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-04-07, 160, Martha_Burk, http://en.wikipedia.org/wiki/Martha_Burk, classifier, 0.03, 0.13, 0.06, 0.02, 0, 0.16, 0.11, 0.13, 0.02, 0.16, 0.13
tds, 2003-04-08, 161, Susan_Sarandon, http://en.wikipedia.org/wiki/Susan_Sarandon, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
tds, 2003-04-09, 162, Ambassador-at-Large_for_War_Crimes_Issues, http://en.wikipedia.org/wiki/Ambassador-at-Large_for_War_Crimes_Issues, classifier, 0.02, 0.04, 0.01, 0.01, 0, 0.25, 0.05, 0.28, 0.04, 0.16, 0.24
tds, 2003-04-09, 163, David_Scheffer, http://en.wikipedia.org/wiki/David_Scheffer, classifier, 0.1, 0.03, 0.06, 0.04, 0, 0.01, 0.04, 0.03, 0.03, 0.81, 0.1
tds, 2003-04-10, 268, Dennis_Miller, http://en.wikipedia.org/wiki/Dennis_Miller, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-04-21, 269, Patrick_Stewart, http://en.wikipedia.org/wiki/Patrick_Stewart, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-04-22, 270, Rachel_Weisz, http://en.wikipedia.org/wiki/Rachel_Weisz, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-04-23, 271, Richard_Lewis_(comedian), http://en.wikipedia.org/wiki/Richard_Lewis_(comedian), heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-04-24, 272, Fareed_Zakaria, http://en.wikipedia.org/wiki/Fareed_Zakaria, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
tds, 2003-04-28, 273, Sanjay_Gupta, http://en.wikipedia.org/wiki/Sanjay_Gupta, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-04-29, 274, Julia_Louis-Dreyfus, http://en.wikipedia.org/wiki/Julia_Louis-Dreyfus, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-04-30, 275, John_Malkovich, http://en.wikipedia.org/wiki/John_Malkovich, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-05-01, 276, Famke_Janssen, http://en.wikipedia.org/wiki/Famke_Janssen, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
tds, 2003-05-05, 277, Chris_Matthews, http://en.wikipedia.org/wiki/Chris_Matthews, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-05-06, 278, Caroline_Kennedy, http://en.wikipedia.org/wiki/Caroline_Kennedy, classifier, 0.01, 0, 0, 1, 1, 0, 0, 0.17, 1, 1, 0
tds, 2003-05-07, 279, Graham_Norton, http://en.wikipedia.org/wiki/Graham_Norton, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-05-08, 280, Paul_Rudd, http://en.wikipedia.org/wiki/Paul_Rudd, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-05-12, 281, Randy_Jackson, http://en.wikipedia.org/wiki/Randy_Jackson, heuristics, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
tds, 2003-05-13, 282, Joshua_Jackson, http://en.wikipedia.org/wiki/Joshua_Jackson, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-05-14, 283, Diane_Ravitch, http://en.wikipedia.org/wiki/Diane_Ravitch, classifier, 0.98, 0, 0, 1, 1, 0, 0.35, 0, 1, 0, 0.71
tds, 2003-05-15, 435, Michael_Kinsley, http://en.wikipedia.org/wiki/Michael_Kinsley, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-05-27, 436, William_Kristol, http://en.wikipedia.org/wiki/William_Kristol, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-05-28, 437, Lisa_Ling, http://en.wikipedia.org/wiki/Lisa_Ling, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-05-29, 438, David_Halberstam, http://en.wikipedia.org/wiki/David_Halberstam, heuristics, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
tds, 2003-06-02, 439, Bill_Hemmer, http://en.wikipedia.org/wiki/Bill_Hemmer, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-06-03, 440, Eddie_Izzard, http://en.wikipedia.org/wiki/Eddie_Izzard, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-06-04, 441, Madeleine_Albright, http://en.wikipedia.org/wiki/Madeleine_Albright, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-06-05, 442, Tyrese, http://en.wikipedia.org/wiki/Tyrese, heuristics, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
tds, 2003-06-09, 443, Guy_Pearce, http://en.wikipedia.org/wiki/Guy_Pearce, classifier, 0, 0.96, 0, 0.06, 0, 0.86, 0, 0.08, 0, 0, 0.05
tds, 2003-06-10, 444, Newt_Gingrich, http://en.wikipedia.org/wiki/Newt_Gingrich, heuristics, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-06-11, 445, Sidney_Blumenthal, http://en.wikipedia.org/wiki/Sidney_Blumenthal, classifier, 0.03, 0.13, 0.06, 0.02, 0, 0.16, 0.11, 0.13, 0.02, 0.16, 0.13
tds, 2003-06-12, 446, Ludacris, http://en.wikipedia.org/wiki/Ludacris, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-06-16, 447, Harrison_Ford, http://en.wikipedia.org/wiki/Harrison_Ford, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-06-17, 598, Lewis_H._Lapham, http://en.wikipedia.org/wiki/Lewis_H._Lapham, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-06-18, 599, Kelly_Clarkson, http://en.wikipedia.org/wiki/Kelly_Clarkson, heuristics, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
tds, 2003-06-19, 600, Ron_Livingston, http://en.wikipedia.org/wiki/Ron_Livingston, classifier, 0, 0.94, 0, 0.08, 0, 0.34, 0, 0.15, 0, 0, 0.01
tds, 2003-07-08, 601, Tony_Snow, http://en.wikipedia.org/wiki/Tony_Snow, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-07-09, 602, Erica_Jong, http://en.wikipedia.org/wiki/Erica_Jong, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
tds, 2003-07-10, 603, Carson_Daly, http://en.wikipedia.org/wiki/Carson_Daly, classifier, 0, 0.94, 0, 0.01, 0, 0.71, 0, 0.93, 0, 0, 0.03
tds, 2003-07-14, 604, Angelina_Jolie, http://en.wikipedia.org/wiki/Angelina_Jolie, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-07-15, 605, Gary_Hart, http://en.wikipedia.org/wiki/Gary_Hart, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-07-16, 606, Rowan_Atkinson, http://en.wikipedia.org/wiki/Rowan_Atkinson, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1
tds, 2003-07-17, 607, Martin_Lawrence, http://en.wikipedia.org/wiki/Martin_Lawrence, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-07-21, 608, Gabrielle_Union, http://en.wikipedia.org/wiki/Gabrielle_Union, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-07-22, 609, Scott_Glenn, http://en.wikipedia.org/wiki/Scott_Glenn, classifier, 0, 0.76, 0, 0.02, 0, 0, 0, 0, 0.04, 0.01, 0.04
tds, 2003-07-23, 610, Dick_Morris, http://en.wikipedia.org/wiki/Dick_Morris, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
tds, 2003-07-24, 611, Joseph_C._Wilson, http://en.wikipedia.org/wiki/Joseph_C._Wilson, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-07-28, 613, Paul_Teutul_Jr., http://en.wikipedia.org/wiki/Paul_Teutul_Jr., classifier, 0, 0.97, 0, 0.64, 0.02, 0.42, 0.02, 0.39, 0.39, 0, 0.95
tds, 2003-07-28, 612, Paul_Teutul_Sr., http://en.wikipedia.org/wiki/Paul_Teutul_Sr., classifier, 0, 0.45, 0, 0.05, 0, 0.15, 0, 0.24, 0.05, 0.03, 0.13
tds, 2003-07-29, 614, Brian_Williams, http://en.wikipedia.org/wiki/Brian_Williams, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-07-30, 768, Alyson_Hannigan, http://en.wikipedia.org/wiki/Alyson_Hannigan, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-07-31, 769, Soledad_O%27Brien, http://en.wikipedia.org/wiki/Soledad_O%27Brien, classifier, 0.05, 0.14, 0.06, 0.02, 0, 0.14, 0.14, 0.13, 0.03, 0.14, 0.14
tds, 2003-08-04, 770, Denis_Leary, http://en.wikipedia.org/wiki/Denis_Leary, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-08-05, 771, John_Popper, http://en.wikipedia.org/wiki/John_Popper, heuristics, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
tds, 2003-08-06, 772, Robert_Duvall, http://en.wikipedia.org/wiki/Robert_Duvall, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-08-07, 773, Tracey_Ullman, http://en.wikipedia.org/wiki/Tracey_Ullman, heuristics, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1
tds, 2003-08-11, 774, Samuel_L._Jackson, http://en.wikipedia.org/wiki/Samuel_L._Jackson, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-08-12, 775, Kim_Cattrall, http://en.wikipedia.org/wiki/Kim_Cattrall, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-08-13, 776, Paul_Giamatti, http://en.wikipedia.org/wiki/Paul_Giamatti, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-08-18, 777, Jim_Hightower, http://en.wikipedia.org/wiki/Jim_Hightower, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1
tds, 2003-08-19, 778, Cynthia_Nixon, http://en.wikipedia.org/wiki/Cynthia_Nixon, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-08-20, 779, Will_Shortz, http://en.wikipedia.org/wiki/Will_Shortz, classifier, 0, 0.05, 0, 0.1, 0, 0, 0.83, 0.01, 0.21, 0, 0.12
tds, 2003-08-21, 780, Dennis_Kucinich, http://en.wikipedia.org/wiki/Dennis_Kucinich, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-09-09, 781, Al_Franken, http://en.wikipedia.org/wiki/Al_Franken, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
tds, 2003-09-10, 935, Kate_Beckinsale, http://en.wikipedia.org/wiki/Kate_Beckinsale, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-09-15, 937, Cuba_Gooding,_Jr., http://en.wikipedia.org/wiki/Cuba_Gooding,_Jr., classifier, 0, 0.94, 0, 0.11, 0, 0.33, 0, 0.03, 0, 0, 0.03
tds, 2003-09-15, 936, John_Edwards, http://en.wikipedia.org/wiki/John_Edwards, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-09-16, 938, Madeleine_Albright, http://en.wikipedia.org/wiki/Madeleine_Albright, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-09-17, 939, Charlie_Sheen, http://en.wikipedia.org/wiki/Charlie_Sheen, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-09-18, 940, Christina_Ricci, http://en.wikipedia.org/wiki/Christina_Ricci, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-09-23, 941, Michael_Caine, http://en.wikipedia.org/wiki/Michael_Caine, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-09-24, 942, Ben_Stiller, http://en.wikipedia.org/wiki/Ben_Stiller, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1
tds, 2003-09-25, 943, Jonah_Goldberg, http://en.wikipedia.org/wiki/Jonah_Goldberg, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
tds, 2003-09-29, 944, Jack_Black_(actor), http://en.wikipedia.org/wiki/Jack_Black_(actor), heuristics, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
tds, 2003-09-30, 945, Joe_Scarborough, http://en.wikipedia.org/wiki/Joe_Scarborough, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-10-01, 946, Vivica_A._Fox, http://en.wikipedia.org/wiki/Vivica_A._Fox, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-10-02, 947, Rob_Lowe, http://en.wikipedia.org/wiki/Rob_Lowe, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-10-06, 948, Michael_Moore, http://en.wikipedia.org/wiki/Michael_Moore, heuristics, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
tds, 2003-10-07, 951, Arianna_Huffington, http://en.wikipedia.org/wiki/Arianna_Huffington, classifier, 0, 0.01, 0, 0, 0, 0.95, 0, 0, 0.01, 0, 0.73
tds, 2003-10-07, 950, Marc_Singer, http://en.wikipedia.org/wiki/Marc_Singer, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-10-07, 949, Ronny_Cox, http://en.wikipedia.org/wiki/Ronny_Cox, classifier, 0, 0.95, 0, 0, 0, 0.86, 0, 0.92, 0, 0, 0.02
tds, 2003-10-08, 952, Hillary_Clinton, http://en.wikipedia.org/wiki/Hillary_Clinton, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-10-09, 1107, Tim_Robbins, http://en.wikipedia.org/wiki/Tim_Robbins, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-10-20, 1108, Henry_Kissinger, http://en.wikipedia.org/wiki/Henry_Kissinger, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-10-21, 1109, Angelina_Jolie, http://en.wikipedia.org/wiki/Angelina_Jolie, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-10-22, 1110, Walter_Isaacson, http://en.wikipedia.org/wiki/Walter_Isaacson, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
tds, 2003-10-23, 1111, Anthony_Hopkins, http://en.wikipedia.org/wiki/Anthony_Hopkins, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-10-27, 1112, Ted_Danson, http://en.wikipedia.org/wiki/Ted_Danson, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-10-28, 1113, Wanda_Sykes, http://en.wikipedia.org/wiki/Wanda_Sykes, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-10-29, 1114, Norm_Macdonald, http://en.wikipedia.org/wiki/Norm_Macdonald, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-10-30, 1115, Neal_Pollack, http://en.wikipedia.org/wiki/Neal_Pollack, classifier, 0.01, 0.1, 0.06, 0.01, 0, 0.21, 0.03, 0.25, 0.02, 0.22, 0.12
tds, 2003-11-03, 1116, Kyle_MacLachlan, http://en.wikipedia.org/wiki/Kyle_MacLachlan, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-11-04, 1117, Michael_Beschloss, http://en.wikipedia.org/wiki/Michael_Beschloss, heuristics, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-11-05, 1118, Bob_Newhart, http://en.wikipedia.org/wiki/Bob_Newhart, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-11-06, 1119, Colin_Firth, http://en.wikipedia.org/wiki/Colin_Firth, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-11-10, 1120, Will_Ferrell, http://en.wikipedia.org/wiki/Will_Ferrell, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1
tds, 2003-11-11, 1121, Peter_Dinklage, http://en.wikipedia.org/wiki/Peter_Dinklage, classifier, 0, 0.96, 0, 0, 0, 0.02, 0, 0.94, 0, 0, 0.01
tds, 2003-11-12, 1274, Wyclef_Jean, http://en.wikipedia.org/wiki/Wyclef_Jean, heuristics, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
tds, 2003-11-13, 1275, Brendan_Fraser, http://en.wikipedia.org/wiki/Brendan_Fraser, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-11-17, 1276, Heidi_Klum, http://en.wikipedia.org/wiki/Heidi_Klum, classifier, 0, 0.87, 0, 0.17, 1, 0, 0, 1, 0.01, 0, 0
tds, 2003-11-18, 1277, Bernard_Goldberg, http://en.wikipedia.org/wiki/Bernard_Goldberg, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-11-19, 1278, James_Spader, http://en.wikipedia.org/wiki/James_Spader, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-11-20, 1279, Billy_Bob_Thornton, http://en.wikipedia.org/wiki/Billy_Bob_Thornton, heuristics, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
tds, 2003-12-01, 1280, Adam_Goldberg, http://en.wikipedia.org/wiki/Adam_Goldberg, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-12-02, 1281, Tom_Daschle, http://en.wikipedia.org/wiki/Tom_Daschle, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-12-03, 1283, Alan_Colmes, http://en.wikipedia.org/wiki/Alan_Colmes, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-12-03, 1282, Sean_Hannity, http://en.wikipedia.org/wiki/Sean_Hannity, classifier, 0.09, 0, 0, 0.23, 0.02, 0, 0.31, 0, 0.99, 0, 0.69
